id,대표자,설립일,업태,종목,소재지,회사소개,주요생산품목,주요제품소개,대표자_글자크기,설립일_글자크기,업태_글자크기,종목_글자크기,소재지_글자크기,회사소개_글자크기,주요생산품목_글자크기,주요제품소개_글자크기,이미지1,이미지2,이미지3,이미지4,이미지5
부경대학교,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
솔라라이트,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
지이브이알,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
알케이,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
이에스앤티,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
에이프로,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
그린베이스,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
그린인증평가원,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
한국전기차리빌딩협회,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
라올바이오,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
퀀텀솔루션,,,,,,,,,24,24,24,24,22,18,24,18,A,A,A,A,A
